x,y,count,red,blue
1,0.01,8053,4013,4040
1,0.01,5965,3235,2730
1,0.01,8223,5111,3112
1,0.01,9194,7144,2050
1,0.01,2485,1077,1408
1,0.01,8522,7277,1245
1,0.01,7371,2824,4547
1,0.01,4129,3608,521
1,0.01,16737,10709,6028
1,0.01,11239,4411,6828
1,0.01,2412,2116,296
1,0.01,12413,2854,9559
1,0.01,5500,3039,2461
1,0.01,7980,5787,2193
1,0.01,4133,1520,2613
1,0.01,3503,1458,2045
1,0.01,8411,4955,3456
1,0.01,6191,916,5275
1,0.01,11836,3589,8247
1,0.01,5953,4452,1501
1,0.01,5464,4253,1211
1,0.01,8603,3236,5367
1,0.01,5131,1418,3713
1,0.01,8989,2522,6467
1,0.01,11066,6139,4927
1,0.01,6546,1962,4584
1,0.01,9536,3822,5714
1,0.01,4372,1642,2730
1,0.01,9356,3125,6231
1,0.01,5226,2824,2402
1,0.01,3323,915,2408
1,0.01,6292,4120,2172
1,0.01,3926,3658,268
1,0.01,9812,3172,6640
1,0.01,5659,4341,1318
1,0.01,5057,4256,801
1,0.01,9570,5071,4499
1,0.01,6504,4383,2121
1,0.01,4985,3749,1236
1,0.01,4345,2918,1427
1,0.01,5191,2443,2748
1,0.01,3802,2447,1355
1,0.01,7339,3693,3646
1,0.01,7176,3350,3826
1,0.01,6691,1522,5169
1,0.01,5570,3062,2508
1,0.01,6770,2563,4207
1,0.01,4255,1213,3042
1,0.01,1921,1104,817
1,0.01,1182,737,445
1,0.01,9902,3992,5910
1,0.01,4818,1684,3134
1,0.01,5214,3164,2050
1,0.01,4767,837,3930
1,0.01,2838,1411,1427
1,0.01,6039,941,5098
1,0.01,5146,2225,2921
1,0.01,1538,1230,308
1,0.01,6620,1979,4641
1,0.01,9617,3969,5648
1,0.01,1274,1134,140
1,0.01,9364,6993,2371
1,0.01,6558,3478,3080
1,0.01,1353,530,823
1,0.01,6395,3364,3031
1,0.01,8635,3116,5519
1,0.01,5285,1202,4083
1,0.01,6173,1600,4573
1,0.01,6338,3629,2709
1,0.01,2633,1378,1255
1,0.01,5769,2087,3682
1,0.01,4023,1454,2569
1,0.01,8964,4289,4675
1,0.01,6008,3724,2284
1,0.01,14585,4129,10456
1,0.01,10834,5216,5618
1,0.01,10497,5861,4636
1,0.01,1903,787,1116
1,0.01,3974,1691,2283
1,0.01,10474,1143,9331
1,0.01,5166,3916,1250
1,0.01,2070,1461,609
1,0.01,3814,2575,1239
1,0.01,4567,2027,2540
1,0.01,9605,1929,7676
1,0.01,2313,1267,1046
1,0.01,3848,2116,1732
1,0.01,6121,1766,4355
1,0.01,5085,4173,912
1,0.01,2683,1268,1415
1,0.01,2180,667,1513
1,0.01,3422,1130,2292
1,0.01,7485,4485,3000
1,0.01,6066,2872,3194
1,0.01,11519,7579,3940
1,0.01,7331,2528,4803
1,0.01,2587,2330,257
1,0.01,2446,1122,1324
1,0.01,1381,638,743
1,0.01,6094,2688,3406
1,0.01,7390,2248,5142
1,0.01,5257,5050,207
1,0.01,4762,1598,3164
1,0.01,11308,7171,4137
1,0.01,4555,380,4175
1,0.01,3763,1664,2099
1,0.01,9150,4298,4852
1,0.01,11632,2223,9409
1,0.01,6559,6301,258
1,0.01,9652,3681,5971
1,0.01,5629,3207,2422
1,0.01,4852,3561,1291
1,0.01,2606,2020,586
1,0.01,5536,3681,1855
1,0.01,3231,2898,333
1,0.01,5946,4232,1714
1,0.01,8262,2775,5487
1,0.01,3728,1232,2496
1,0.01,9299,3660,5639
1,0.01,11544,7277,4267
1,0.01,4052,3165,887
1,0.01,7304,2388,4916
1,0.01,7834,3627,4207
1,0.01,4519,1615,2904
1,0.01,8063,5022,3041
1,0.01,2028,703,1325
1,0.01,1964,1073,891
1,0.01,3932,2131,1801
1,0.01,5694,888,4806
1,0.01,6003,1988,4015
1,0.01,3998,3056,942
