x,y,min_color_similarity,count,mean_group_size,mutants_count,colors_unique
1,0.01,0.0,4858,1.0156805352289358,748,4783
1,0.01,0.0,5053,1.012828222088595,737,4989
1,0.01,0.0,3344,1.0207570207570207,509,3276
1,0.01,0.0,3074,1.0135179690075833,478,3033
1,0.01,0.0,6471,1.0107778819119024,983,6402
1,0.01,0.0,3031,1.0160911833724438,466,2983
1,0.01,0.0,4023,1.0138608870967742,589,3968
1,0.01,0.0,14090,1.016667869254636,2088,13859
1,0.01,0.0,1367,1.0171130952380953,201,1344
1,0.01,0.0,8758,1.008405296488198,1296,8685
1,0.01,0.0,4750,1.0223848471803703,726,4646
1,0.01,0.0,11597,1.0111605196616968,1742,11469
1,0.01,0.0,4911,1.0142503097893432,771,4842
1,0.01,0.0,3937,1.0265971316818774,604,3835
1,0.01,0.0,4986,1.0177587262706675,773,4899
1,0.01,0.0,7764,1.0112008335504037,1182,7678
1,0.01,0.0,9755,1.0120344434069923,1474,9639
1,0.01,0.0,7232,1.0167299311120483,1094,7113
1,0.01,0.0,3417,1.013044767269493,513,3373
1,0.01,0.0,1506,1.0265848670756645,247,1467
1,0.01,0.0,3970,1.024251805985552,570,3876
1,0.01,0.0,1831,1.0172222222222222,283,1800
1,0.01,0.0,2812,1.0319266055045873,417,2725
1,0.01,0.0,2619,1.0127610208816706,429,2586
1,0.01,0.0,7526,1.0102013422818792,1115,7450
1,0.01,0.0,896,1.1516709511568124,133,778
1,0.01,0.0,8540,1.0110098259737186,1326,8447
1,0.01,0.0,5708,1.0176502050276341,894,5609
1,0.01,0.0,5769,1.0092722183344998,886,5716
1,0.01,0.0,6120,1.0097343672661276,955,6061
1,0.01,0.0,5574,1.0114316820903648,826,5511
1,0.01,0.0,6583,1.0146424167694206,995,6488
1,0.01,0.0,8810,1.0095107138764754,1268,8727
1,0.01,0.0,8633,1.0099438465138044,1326,8548
1,0.01,0.0,1312,1.0314465408805031,197,1272
1,0.01,0.0,6949,1.0116465278788762,997,6869
1,0.01,0.0,5399,1.011617013303354,826,5337
1,0.01,0.0,5612,1.0100791936645068,860,5556
1,0.01,0.0,3556,1.015129888666857,530,3503
1,0.01,0.0,8414,1.008751948207649,1252,8341
1,0.01,0.0,7079,1.011719308274975,1035,6997
1,0.01,0.0,6571,1.0093701996927804,1049,6510
1,0.01,0.0,3452,1.0188902007083824,519,3388
1,0.01,0.0,6958,1.0172514619883042,1038,6840
1,0.01,0.0,5771,1.0133450395083405,859,5695
1,0.01,0.0,8864,1.0123343992690725,1303,8756
1,0.01,0.0,5594,1.0176459887211207,821,5497
1,0.01,0.0,11932,1.0120441051738762,1834,11790
1,0.01,0.0,8327,1.0115403304178814,1229,8232
1,0.01,0.0,2088,1.0145772594752187,324,2058
1,0.01,0.0,15582,1.0145191744254183,2334,15359
1,0.01,0.0,8284,1.0114774114774114,1291,8190
1,0.01,0.0,5369,1.0147420147420148,759,5291
1,0.01,0.0,7533,1.0194884287454324,1154,7389
1,0.01,0.0,2706,1.0161472024033045,398,2663
1,0.01,0.0,11074,1.012618873445501,1681,10936
1,0.01,0.0,3792,1.020177562550444,581,3717
1,0.01,0.0,4718,1.0154972018941024,734,4646
1,0.01,0.0,5866,1.0150545077002942,902,5779
1,0.01,0.0,1276,1.029862792574657,166,1239
1,0.01,0.0,10125,1.0119940029985008,1548,10005
1,0.01,0.0,6559,1.0143829260748531,1000,6466
1,0.01,0.0,7036,1.0170569528765538,1047,6918
1,0.01,0.0,7128,1.0148063781321184,1045,7024
1,0.01,0.0,6235,1.0069444444444444,901,6192
1,0.01,0.0,6223,1.016,943,6125
1,0.01,0.0,10521,1.0119265172645955,1685,10397
1,0.01,0.0,6253,1.0123037073012788,922,6177
1,0.01,0.0,3099,1.0117531831537707,479,3063
1,0.01,0.0,2145,1.0287769784172662,317,2085
1,0.01,0.0,10610,1.008555133079848,1620,10520
1,0.01,0.0,6881,1.010129183793306,956,6812
1,0.01,0.0,15455,1.0169770349411067,2325,15197
1,0.01,0.0,4158,1.0119250425894377,591,4109
1,0.01,0.0,7392,1.012464046021093,1079,7301
1,0.01,0.0,6009,1.010935397039031,882,5944
1,0.01,0.0,1851,1.0153592978606691,284,1823
1,0.01,0.0,10419,1.010572259941804,1598,10310
1,0.01,0.0,4997,1.0101071356377602,748,4947
1,0.01,0.0,10816,1.0137782360108727,1644,10669
1,0.01,0.0,6048,1.0142545698473922,897,5963
1,0.01,0.0,4918,1.0102711585866886,738,4868
1,0.01,0.0,11381,1.0163422039649936,1692,11198
1,0.01,0.0,4908,1.0123762376237624,685,4848
1,0.01,0.0,7325,1.0106236203090508,1078,7248
1,0.01,0.0,10919,1.012800296818477,1623,10781
1,0.01,0.0,6857,1.012402185146907,988,6773
1,0.01,0.0,6489,1.0143817414413006,932,6397
1,0.01,0.0,3353,1.0139098881161173,492,3307
1,0.01,0.0,5896,1.0097619455386195,888,5839
1,0.01,0.0,5017,1.0100664384940607,717,4967
1,0.01,0.0,6350,1.0150255754475703,943,6256
1,0.01,0.0,6314,1.0083040562120729,902,6262
1,0.01,0.0,7773,1.012636789994789,1196,7676
1,0.01,0.0,9722,1.0109181657481543,1450,9617
1,0.01,0.0,9197,1.0181556515000554,1340,9033
1,0.01,0.0,1584,1.044166117336849,259,1517
1,0.01,0.0,2185,1.0162790697674418,320,2150
1,0.01,0.0,15736,1.0155534043239756,2316,15495
1,0.01,0.0,14655,1.0178497013474093,2174,14398
1,0.01,0.0,5336,1.0154138915318744,769,5255
1,0.01,0.0,8115,1.0092028354682254,1264,8041
1,0.01,0.0,6222,1.0123657663520989,883,6146
1,0.01,0.0,12090,1.0104471374843293,1845,11965
1,0.01,0.0,5353,1.0142099280030314,815,5278
1,0.01,0.0,5933,1.0185407725321889,869,5825
1,0.01,0.0,1358,1.0342726580350343,202,1313
1,0.01,0.0,6884,1.0133961430884735,1001,6793
1,0.01,0.0,12247,1.012399768537654,1862,12097
1,0.01,0.0,4538,1.0111408199643495,673,4488
1,0.01,0.0,8775,1.0103626943005182,1344,8685
1,0.01,0.0,4575,1.011496794163166,657,4523
